,Index,Name,Description,Example
162,162,Immunocompromised threat,Focus on individuals with weakened immune systems as a high-risk group for Mpox.,A Los Angeles resident who was severely immunocompromised has died of monkeypox after being hospitalized...
163,163,Vaccine availability,Discussion on the increasing availability and distribution of vaccines to combat Mpox.,"With more vaccines available in the U.S. and in Europe, the initial epicenter of the outbreak, monkeypox cases have begun to decline globally..."
164,164,Public health emergency,"Frames Mpox as a serious public health concern, highlighting emergency declarations and resource allocation.","...the U.S. has approved a new vaccination strategy to stretch supplies of the Jynneos vaccine, the only shot specifically approved by the FDA..."
165,165,Containment Efforts,Government and health agency efforts to contain the spread of Mpox.,"The U.S. is working to contain the largest monkeypox outbreak in the world, with more than 22,600 cases across all 50 states..."
166,166,Risk Mitigation,Guidance and recommendations for individuals at risk of contracting Mpox.,"People who have monkeypox should stay at home until the rash has healed and a new layer of skin has formed, keep a safe distance from other people..."
167,167,Global Health Crisis,The article describes a global health crisis characterized by frequent epidemics and pandemics.,"We are going through an era of epidemics and pandemics, and they are going to be more complex and more frequent."
168,168,Human-Pathogen Interface,"The increasing interaction between humans and pathogens due to urbanization, deforestation, and climate change.","Deforestation, climate change, and urbanization make such interactions more likely."
169,169,Global Cooperation Challenge,"The difficulty of achieving global cooperation in addressing infectious disease threats due to geopolitics, inequity, and lack of communication.","Unless we resolve geopolitical issues, then I'm afraid that we won't have sight of what is emerging from China, Europe, Africa, the Americas, and Southeast Asia."
170,170,Vaccine Efficacy,The effectiveness of Jynneos vaccine in preventing monkeypox infection.,"Researchers say there's still a lot to be determined about the vaccine's efficacy, despite it being administered everywhere."
171,171,Public Behavior Change,The impact of people changing their behavior on reducing monkeypox cases.,"In a recent survey, half of gay and bisexual men said they had reduced their number of partners or types of sexual encounters."
172,172,Unintended Consequences,"The potential risks and outcomes of the vaccine campaign, such as oversupply or underreach.","In some areas, there may be an oversupply of vaccines, while in others, not everyone who is eligible may be receiving it."
173,173,Racial scapegoating,"Attributing blame for the outbreak to a specific group of people, in this case foreigners.","The announcement makes everyone feel angry... But in China, the drumbeat that foreigners are dangerous is continuous..."
174,174,Comparative disease framing,Drawing parallels between Mpox and other diseases like AIDS to explain its spread.,"The spread of AIDS was like this, and the spread of monkeypox epidemics currently reported is similar..."
175,175,Health versus travel restrictions,Balancing public health measures with international travel limitations.,China’s zero tolerance approach to Covid... may have limited its exposure to the burgeoning global outbreak.
176,176,Rising Infection Rates,Articles mentioning the increase in new cases of various sexually transmitted diseases.,"Infections rates for some STDs, including gonorrhea and syphilis, have been rising for years."
177,177,Condom Use Decline,Articles discussing the decrease in condom usage as a contributing factor to the rise in STD infections.,Condom use has been declining and some experts say that's part of the problem.
178,178,Stigma Reduction,Articles highlighting the importance of reducing stigma around STDs for effective prevention and treatment efforts.,"Mena called for reducing stigma, broadening screening and treatment services"
179,179,Africanization of Disease,Portrayal of disease as uniquely affecting African people or communities.,The articles reflected negative self-representation of the African continent and positive other-representation of western countries.
180,180,Othering through Language,Use of language to emphasize differences and create an 'us vs them' mentality.,The tendency was to emphasise the humanity and positive traits of affected western individuals while either anonymising or writing negatively about African individuals.
181,181,Selective Reporting Bias,"Emphasis on certain aspects of the outbreak, such as deaths and infections in Western countries, while downplaying others, like containment efforts in Africa.",The fact that African countries kept deaths and infections to a minimum was de-emphasised.
182,182,Optimism on Decline,Federal officials express hope for elimination despite ongoing cases.,"“Our goal is to eradicate; that’s what we’re working toward,” Dr. Demetre Daskalakis said."
183,183,Scientific Uncertainty,Experts caution against premature predictions due to unknowns about the virus.,This is the first time that we really have seen a large outbreak of monkeypox with sustained human-to-human transmission...
184,184,Stigma and Equity,"The code highlights the disparities in vaccination rates among different racial and ethnic groups, particularly Black and Latino men.",We're focusing our equity efforts on vaccine and identifying strategies to actually improve vaccine uptake among Black and Latino individuals.
185,185,Opioid Epidemic Impact,Code for discussions on the economic and social impact of opioid epidemic.,The opioid epidemic cost the U.S. nearly $1.5 trillion in 2020.
186,186,Public Health Policy,"Code for discussions on public health policies, such as Medicaid waivers and biosafety practices.","The White House conference on hunger, nutrition and health announced new policy initiatives to end hunger in the U.S. by 2030."
187,187,Monkeypox Spread,The spread of monkeypox virus and its impact on populations.,"Ohio has had 276 confirmed monkeypox cases since the pandemic began in the state, around May 29."
188,188,Risk Factors,The conditions that make individuals more susceptible to severe illness or death from monkeypox.,people with weakened immune systems may be more likely to get seriously ill or die
189,189,Case Numbers,"Number of monkeypox cases reported in Hawaii, including new additions.",The state Department of Health now reports a total of 39 cases.
190,190,Vaccination Efforts,"Information about vaccine availability, eligibility, and administration.",Hawaii is offering the Jynneos vaccine for monkeypox — a two-dose series administered at least 28 days apart.
191,191,Misinformation Challenge,"Efforts to combat misinformation and confusion among communities about monkeypox, vaccination, and prevention.",Fighting misinformation took hard work as official guidance changed and skepticism was high in already vulnerable communities.
192,192,Vulnerable Communities,"The disproportionate impact of monkeypox on certain groups, such as Black and Latino men, and efforts to reach and vaccinate these populations.",Black people make up 28% of cases but only 13% of those who have gotten their first dose of the vaccine.
193,193,Vaccination Inequity,Lack of vaccine access and availability for marginalized communities,The health department couldn’t really tell me what to do either... Why isn’t there more urgency to protect kids?
194,194,Painful Isolation,Emotional and physical suffering caused by social isolation due to Mpox,I had to get really stern because she kept forgetting... I told her to keep checking her body for any bumps.
195,195,Financial Burden,Economic hardship caused by medical expenses and lost income due to Mpox,"I have insurance, but co-pays and medications not covered left me with almost $2,000 in out-of-pocket expenses."
196,196,Racial Profiling,"The Five Below manager assumed the customer's racial identity based on her appearance, leading to a discriminatory interaction.",Potter describes Seema as 'Guyanese' and then says she is either Guyanese or Indian.
197,197,Victim Blaming,The manager blamed the customer for being upset with her after she was told to leave the store due to a mistaken assumption.,"Seema said that [Potter] began 'cussing' at her, but Potter wanted to refuse service because of her swearing."
198,198,Behavioral change,Change in behavior among high-risk groups contributed to the decline of Mpox cases. Vaccination uptake and altered sexual practices are key factors.,Experts attribute the success to changes in behavior among those at high risk for monkeypox and quick uptake of vaccines.
199,199,Viral transmission dynamics,"Research shows that Mpox spreads through close contact, particularly during sex, but is rare in non-sexual settings. Skin lesions and anal sores are primary sites for virus shedding.","Only about 0.2% of U.S. cases have been in kids under 16, indicating limited transmission among children."
200,200,Vulnerability disparities,"Mpox cases are disproportionately affecting men of color, particularly Black and Latino men, who are getting vaccinated at lower rates.","CDC data show that monkeypox cases are down dramatically in white men, but nearly 70% of cases are now being detected in Black or Latino men."
201,201,Risk Perception and Stigma,"Concerns about stigmatizing the most hard-hit communities, particularly the gay community.",“A concern about stigmatizing the most hard hit in the gay community also may have played a role.”
202,202,Conspiracy Theory Emerge,Code representing the rapid spread of conspiracy theories on social media.,The study highlights how fast misinformation and conspiracy theories emerge...
203,203,Debunking Efforts,Code representing attempts to correct or refute false information.,Caulfield said the study is a reminder that public health officials need to adopt a range of response to address misinformation on social media...
204,204,Rare Deaths Mentioned,Article highlights rare cases of deaths due to Mpox.,Officials said death due to monkeypox still remains rare.
205,205,Comorbidities Warning,Experts emphasize importance of preventive measures for individuals with weakened immune systems.,"The two had several other health conditions, including weakened immune systems"
206,206,Vaccination Emphasis,Article stresses the significance of vaccination in preventing Mpox infection.,"Please continue to take it seriously. If you’re at risk of MPV infection, take prevention steps and get vaccinated"
207,207,Mpox Mortality,"References to deaths caused by Mpox, highlighting the severity of the disease.",The six additional deaths were announced by state agencies on Thursday and Friday.
208,208,Prevention through Vaccination,"Promotion of vaccination as a means to prevent severe illness or death from Mpox, particularly for high-risk individuals.","If you are eligible, such as being immunocompromised or at-risk, the best way to protect yourself against serious illness from MPX is by getting vaccinated."
209,209,Geographic Spread,The spread of Mpox cases across different regions or counties.,"New cases were spread across seven counties, including Eaton County, which became the 23rd county to report its first confirmed infection."
210,210,Immunocompromised Patients,"Patients with weakened immune systems, often due to HIV or other conditions.",Almost all the patients had severely weakened immune systems and 82% had HIV.
211,211,Severity of Symptoms,"Severe symptoms experienced by immunocompromised patients, including rashes and organ damage.",All the patients experienced severe rashes while 68% also had severe lesions on various body parts...
212,212,Stigma and Prejudice,Fear of retribution against LGBTQ+ individuals due to stigma surrounding the virus.,"Noyes fears that because the virus has been linked to men who have sex with men, it could spark retribution against people who identify as LGBTQ+ in Humboldt County."
213,213,Resource Deficits,Limited resources and infrastructure in rural areas hinder public health response.,"The community health nurse responsible for distributing the vaccine from a state-run clinic in Winnemucca retired months ago, leaving a gap that was only filled with the arrival of a replacement nurse in October."
